"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Fail
"Task: 1, Test Name: Search bar is displayed, DOM Id: INPUTtext____42, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: I__headericon__44, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Fail
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Search bar is displayed, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Fail
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Search Icon is displayed, DOM Id: A__btnsearchm__59, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Fail
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Profile Icon is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Microsoft Edge, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Microsoft Edge, Viewport:120x 0700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Cart Icon is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport:500x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Home Navbar  is displayed, DOM Id: A__showsubmen__23, Browser: Chrome, Viewport:768x 700, Device: Laptop, Status: Pass
"Task: 1, Test Name: Home Navbar  is displayed, DOM Id: A__showsubmen__23, Browser: Firefox, Viewport:x , Device: Laptop, Status: Pass
